Identifiant;Nom Etablissement;CodePostal;Code APE;Libelle APE;coordonnees_x;coordonnees_y;COORDONNEE
063.03152;ARRIVE - Site de Ste Hermine;85210;1012Z;Transformation et conservation de la viande de volaille;338713;2174943;47.6611862138, -2.45259662562
055.00488;Site d'Yffiniac;22120;1085Z;Fabrication de plats préparés;231587;2398801;48.0129876595, -2.32815212931
055.00491;YFFINIAC INDUSTRIE;22120;1051D;Fabrication d'autres produits laitiers;229270;2399455;47.7482666165, -3.07652968421
064.00036;BRENNTAG MEDITERRANEE;13127;4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;835633.43935404;1830257.94459518;47.9048194747, -2.12182639962
064.00772;BALL PACKAGING EUROPE FRANCE - Ets de La Ciotat;13705;2592Z;Fabrication d'emballages métalliques légers;865680;1806190;47.7360118255, -3.23581408299
059.02636;CAPM;25208;751A;Administration publique générale;939494.62719754;2290007.1196122;48.1287769641, -2.98086305387
055.03447;Revêtement industriel de l'ouest;35220;2030Z;Fabrication de peintures -  vernis -  encres et mastics;324999.68788651;2355000.761979;48.0421189645, -2.4048738983
055.03574;MARC SA Environnement;35590;4312A;Travaux de terrassement courants et travaux préparatoires;290162.04;2355292.53;48.0421189645, -2.4048738983
055.03600;TRANSFO SERVICES;35220;3314Z;Réparation d'équipements électriques;321400;2352100;47.8640356506, -2.31869257036
561.01541;ATEMAX OUEST;61400;3832Z;Récupération de déchets triés;467455;2392978;48.0834097423, -2.28417256412
054.01162;ADHEX;21304;2219Z;Fabrication d'autres articles en caoutchouc;801445.112;2257141.08;48.0834097423, -2.28417256412
BP339;6514;PROVENCE-ALPES-COTE-D'AZUR;Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3;;Traitement et revêtement des métaux;2.(f);44.8115039454, -0.780149398933
064.02175;E.ON - Installation de stockage de Bramefan;13710;3821Z;Traitement et élimination des déchets non dangereux;858738;1834525;45.2885333456, -0.866595814689
055.12690;LE GUELLEC;29177;2420Z;Fabrication de tubes -  tuyaux -  profilés creux et accessoires correspondants en acier;104098;2364650;43.6061716639, -0.407248699338
061.02586;HAUPT PHARMA LIVRON;26250;244C;Fabrication de médicaments;798565;1977847;43.7044970937, -0.261529041856
056.01304;PUIGRENIER ABATTOIR BOVIN;3100;1011Z;Transformation et conservation de la viande de boucherie;620912;2148887;44.1255067181, -0.250227877745
065.00995;Station de compression d'Evry-Grégy;77166;4950Z;Transports par conduites;623685.97;2404737.68;43.6385976873, -0.486404262836
75600341;EARL VILLE BARBE;22550;012E;Elevage de porcins;252300;2406200;43.658841047, -0.459471016837
057.01475;OI MANUFACTURING France Reims;51055;2313Z;Fabrication de verre creux;724822;2471950;43.7868055581, -0.706928158092
065.02601;Thimeau;77400;7729Z;Location et location-bail d'autres biens personnels et domestiques;624663;2430145;43.7806984654, -1.2171931873
058.00436;LE CHROME DUR SN;76801;2561Z;Traitement et revêtement des métaux;508647.47306011;2488879.6264209;43.8425338045, -0.791476372143
057.02085;SEA Saint Parres Les Vaudes;10260;2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;739844.64;2354764.22;43.608908463, -0.789739354279
055.01363;FAURECIA INTERIEUR Industrie;35600;2229A;Fabrication de pièces techniques à base de matières plastiques;270117.6887024;2308176.3904082;44.0271118654, -0.909439527246
057.02849;BIOBAR-VOLTALIA;10200;3530Z;Production et distribution de vapeur et d'air conditionné;777077.32;2360861.9;43.7222421438, -0.602778603078
1433001;Clerc Jean-Marc;1560;0147Z;Élevage de volailles;812859;2168204;43.6511951346, -0.916627083445
065.06348;AULNAY 3000;93600;3530Z;Production et distribution de vapeur et d'air conditionné;611610;2437628;43.5718818696, -0.931483366519
064.02675;EASYDIS 1 Aix-en-Provence;13100;5210A;Entreposage et stockage frigorifique;851643;1840941;47.8751420663, -3.02069658804
058.01487;LAGUERRE;76800;2030Z;Fabrication de peintures -  vernis -  encres et mastics;510610;2486257;48.0567762587, -3.41394764032
058.01355;LEGRAND Montville;76710;2733Z;Fabrication de matériel d'installation électrique;508500;2506500;47.8035862598, -2.41901871226
058.01743;DRAKA PARICABLE;27940;2732Z;Fabrication d'autres fils et câbles électroniques ou électriques;527500;2465250;47.8548197668, -2.83433281359
058.01791;BACHELET BONNEFOND;76480;3700Z;Collecte et traitement des eaux usées;497041;2501880;48.0567762587, -3.41394764032
065.11926;COMPOST TECHNOLOGIE DU MEE (CTM);77120;3821Z;Traitement et élimination des déchets non dangereux;654333;2422161;47.8640356506, -2.31869257036
065.12363;SARL Casse RN16;95400;4511Z;Commerce de voitures et de véhicules automobiles légers;60347;2445141;47.8791787746, -2.77241358892
063.01036;AUGER;85700;361G;Fabrication de meubles meublants;354485;2208300;48.0834097423, -2.28417256412
063.01837;CARENE;44600;900B;Enlèvement et traitement des ordures ménagères;255960;2262718;47.7502539349, -3.18768807652
067.00618;J. WALLACH;68400;515A;Commerce de gros de combustibles;978106;2318491;47.7032835314, -2.65130842801
072.05149;Distillerie du Vieux Chene-Ets DURAN SAS;16130;1101Z;Production de boissons alcooliques distillées;394463;2070815;47.9908782798, -2.38500324625
104.00036;ONYX Nord Isère - Site La Tour du Pin;38353;900B;Enlèvement et traitement des ordures ménagères;842407;2067515;43.1377743063, -0.254842892566
75290132;EARL ELEVAGE AVICOLE DE CORNOUAILLE;29390;012G;Elevage de volailles;150210;2353736;43.2752021198, -0.976451484727
75640006;NURSYLAND;40120;;non renseigné;392801;1906100;43.2860221646, -0.159629023755
055.01546;TEN CATE ENBI;35133;300A;Fabrication de machines de bureau;340030;2376010;43.4209370744, -0.145145931544
070.01603;Delphi Harrison Calsonic & Delphi Calsonic Compressors;59128;291E;Fabrication de compresseurs;652800;2600712;43.2664507569, -0.209843716754
100.01782;MATERLIGNES;41800;312A;Fabrication de matériel de distribution et de commande électrique pour basse tension;490976.012045;2307314.84113;43.2664507569, -0.209843716754
100.00544;GARNIER MEUBLES;36300;3109B;Fabrication d'autres meubles et industries connexes de l'ameublement;502569;2182293;43.3385416153, -0.172853442095
055.12251;Centre de Stockage de Déchets (CSD);35160;900B;Enlèvement et traitement des ordures ménagères;282005;2349875;43.441212664, -0.165348589677
057.01196;FONDERIES COLLIGNON UP de CARBONNIERE;8800;275A;Fonderie de fonte;770237;2544813;47.7659913796, -0.32525783867
057.01218;AGC Automotive Europe Donchery Plant;8350;261A;Fabrication de verre plat;782926;2525506;48.066548741, 0.118980477676
058.01161;Société nouvelle laiterie de la scie;76590;155A;Fabrication de lait liquide et de produits frais;511429;2533463;47.7869470245, -0.119207787621
100.00108;BEMIS Epernon;28232;252C;Fabrication d'emballages en matières plastiques;551400;2401600;48.2274371308, 0.676658147575
181.00014;Communauté du Pays Grand'Combien;30110;751A;Administration publique générale;735432;1913569;47.8651720377, -0.205892312025
127.00090;AGRI COMPOST 70;;;;;;47.8271226423, 0.0761773659983
070.01007;Chaufferie de la Zup du 'Blanc Riez';59139;3530Z;Production et distribution de vapeur et d'air conditionné;649428;2620853;47.8436403011, -0.148224860709
072.07564;SMC DU HAUT VAL DE SEVRES (compostage);79800;900A;Collecte et traitement des eaux usées;409890;2158403;48.0182026569, -0.191818024437
060.00347;SMJ - Station du Bernardan;87890;0721Z;Extraction de minerais d'uranium et de thorium;515950;2148000;47.8247309945, -0.0196738564717
061.03038;Isobox - Etablissement de Pontcharra;38530;2222Z;Fabrication d'emballages en matières plastiques;888111;2054659;47.7301611769, -0.328246599307
064.01260;SOCIETE NOUVELLE BERGIER FRERES;84160;0812Z;Exploitation de gravières et sablières -  extraction d'argiles et de kaolin;848139;1868897;47.8440547784, -0.200466077584
052.02271;SOCLI;47500;2352Z;Fabrication de chaux et plâtre;494813;1955324;47.7625921654, 0.656485709393
051.04064;MAUSER FRANCE Usine de MONTATAIRE;60160;2591Z;Fabrication de fûts et emballages métalliques similaires;607300;2473000;47.8259274092, -0.389742107424
055.00108;Coopérative le Gouessant (Les Noës);22400;1091Z;Fabrication d'aliments pour animaux de ferme;241672;2396846;47.8183402681, -0.237736324571
055.00607;SIRCOB;29270;3821Z;Traitement et élimination des déchets non dangereux;161600;2380599;48.2340988268, 0.154594858014
75600098;SNC DOUX POUSSINS;29190;0147Z;Élevage de volailles;131900;2377360;47.8271226423, 0.0761773659983
052.04831;SARL PROUST AUTOMOBILE;33185;4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;361700;1990400;46.892603456, -1.25037724224
25041300;MARPORC SARL 6 rue des Rougeots 25270 AVANNE-AVENEY;25660;012E;Elevage de porcins;897126;2216900;46.7358233206, -1.38511673826
75600209;SCEA KERDONCUFF GAEC TRAONNEVEZEC;29460;0146Z;Élevage de porcins;115263;2394811;46.8627189763, -1.2619634197
055.01505;chaufferie du Blosne;35200;3530Z;Production et distribution de vapeur et d'air conditionné;302056.41;2350082.26;46.8197967399, -1.99336496393
053.00738;QOVANS INDUSTRIE;14700;2511Z;Fabrication de structures métalliques et de parties de structures;415473.47594289;2434732.4357414;46.6777020891, -0.851266788912
35012004;EP FROMATIS;35470;4633Z;Commerce de gros (commerce interentreprises) de produits laitiers -  œufs -  huiles et matières grasses comestibles;299349;2323605;46.3740050283, -1.08536585174
064.02654;PIECES AUTO FIFI TURIN;13010;4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;846880;1815839;46.8203853917, -1.76473972589
057.01701;CIMENTS CALCIA - Usine de COUVROT;51301;2351Z;Fabrication de ciment;765815;2416253;46.5257686133, -0.996652023844
75560013;BRIEN CHRISTIAN;56390;012G;Elevage de volailles;214614;2325650;46.5257686133, -0.996652023844
051.06534;ISDND de Crépy en Valois;60800;3821Z;Traitement et élimination des déchets non dangereux;640976;2469397;46.8619975618, -0.924407857436
058.00349;Raffinerie de Port-Jérôme / Gravenchon;76330;1920Z;Raffinage du pétrole;469648;2498884;46.7199557449, -1.17842552047
052.06446;HUMULAND S.A.S.;40110;143Z;Extraction de minéraux pour l'industrie chimique et d'engrais naturels;329358.29043517;1900738.3889056;46.6439816759, -0.805848456627
051.02243;AQUANDI;80130;2814Z;Fabrication d'autres articles de robinetterie;542803.89;2565342.24;46.7199557449, -1.17842552047
058.00524;KOYO Bearings Vierzon Maromme SAS;76153;2815Z;Fabrication d'engrenages et d'organes mécaniques de transmission;505730;2499211;46.892603456, -1.25037724224
058.00523;NESTLE France S.A.S;76379;1083Z;Transformation du thé et du café;510542.25551358;2546423.8601659;46.9660975051, -1.25099237077
052.01220;SANOFI WINTHROP INDUSTRIE;33451;4646Z;Commerce de gros (commerce interentreprises) de produits pharmaceutiques;381586;1994563;46.8703207706, -1.01720000732
058.00791;I.S.D.N.D. ECOPARC DE MERCEY;27950;3821Z;Traitement et élimination des déchets non dangereux;530100;2455800;46.5378344121, -0.882185082345
052.02322;SINIAT;47300;2221Z;Fabrication de plaques -  feuilles -  tubes et profilés en matières plastiques;471153.21;1933661.19;47.0018390888, -1.33167939307
058.01081;SERAF;76410;3822Z;Traitement et élimination des déchets dangereux;510529;2481837;46.554142133, -1.06126324427
068.03660;SOPAVE;12110;3832Z;Récupération de déchets triés;591019;1949439;46.9847459362, -1.23055034891
058.01262;TRANSPORTS LUCIEN ROBINET;76350;4941B;Transports routiers de fret de proximité;511136;2485212;46.9847459362, -1.23055034891
058.01491;Metropole Rouen Normandie;76410;3821Z;Traitement et élimination des déchets non dangereux;502946;2479970;49.6397578761, 0.634011795646
072.07648;COMMUNAUTE CANTONALE CELLES SUR BELLE;79370;3811Z;Collecte des déchets non dangereux;403511;2143178;49.6397578761, 0.634011795646
058.02382;CASSE AUTO MAGREN;76380;4511Z;Commerce de voitures et de véhicules automobiles légers;506595.7;2496065.56;49.7493846276, 0.641434634317
053.02859;PROVINCE ENERGIE;50100;3530Z;Production et distribution de vapeur et d'air conditionné;313589;2522555;49.8075446807, 1.44988541062
061.02032;RENAULT TRUCKS;1002;3099Z;Fabrication d'autres équipements de transport n.c.a.;823380;2137602;49.6215066464, 0.613879688631
054.02457;Scieries Réunies du Chalonnais (SRC);71640;1610A;Sciage et rabotage du bois -  hors imprégnation;783589;2200568;49.6778183693, 0.30604039011
090.00205;DGA Techniques Hydrodynamiques;27105;8422Z;Défense;517875;2475111;49.8107077838, 0.90934886544
62633013;LECHERF (GAEC de la Sapinière);62130;0150Z;Culture et élevage associés;591200;2596100;49.7316199339, 1.09790026872
055.00263;COOPERL Arc Atlantique;22640;1091Z;Fabrication d'aliments pour animaux de ferme;245926;2391379;49.5499613033, 1.2886869229
061.03265;PAPETERIES DE VIZILLE;38220;1712Z;Fabrication de papier et de carton;870529;2014208;48.772335337, 1.67250813136
061.04337;CENTRALE THERMIQUE DE BASSENS;73000;3530Z;Production et distribution de vapeur et d'air conditionné;880836;2070244;46.2645286737, -0.628317520843
061.04529;Chauferie urbaine de Novel;74000;3530Z;Production et distribution de vapeur et d'air conditionné;893900;2107689;46.840250131, -0.495951831017
061.04086;tabard autos démolition;69800;3831Z;Démantèlement d'épaves;800998.32;2081384.22;46.821366451, -0.667725649197
061.04632;BAMAREC MARNAZ;74460;2562A;Décolletage;923431.59;2127558.11;46.2084312168, -0.0931463276191
061.13500;MONARD FAUST RECUPERATION;69120;4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;787250.513;2069479.794;46.3244073694, -0.0351544457899
062.00932;AVENIR DETERGENCE LORRAINE;55500;2041Z;Fabrication de savons -  détergents et produits d'entretien;817986;2415874;46.7960708702, -0.355250195388
065.00665;SAVERPLUS;77120;2313Z;Fabrication de verre creux;655615;2422945;46.8366288511, -0.620625483609
065.01167;Borealis Grandpuits;77720;2015Z;Fabrication de produits azotés et d'engrais;645407;2400038;46.3441342158, -0.0813618365555
090.00051;SNOI- Parc 1 de Langres;52600;4950Z;Transports par conduites;833448.27;2310767.06;46.8299803666, -0.352195409102
090.00054;SNOI- Parc 2 de Cambrai;62147;4950Z;Transports par conduites;653555.676;2564730.688;46.5370642958, -0.440383743563
065.03273;VALENE;78930;3821Z;Traitement et élimination des déchets non dangereux;558224.483;2437382.034;46.3942998054, -0.0583425559507
065.03477;SARL ROSNY AUTO PIECES;78710;4511Z;Commerce de voitures et de véhicules automobiles légers;547450;2444050;46.2923574786, 0.115562064234
065.03523;CVD Thiverval-Grignon;78850;3821Z;Traitement et élimination des déchets non dangereux;569171.513;2428044.065;46.4470357613, -0.349145712219
065.04577;BAYER CROPSCIENCE CERES;91660;2020Z;Fabrication de pesticides et d'autres produits agrochimiques;582778.96375415;2369328.4084846;46.2637826224, -0.711696359682
065.04889;SHERWIN-WILLIAMS FRANCE FINISHES;91530;2030Z;Fabrication de peintures -  vernis -  encres et mastics;575862.56024872;2389074.2189412;46.5710976597, -0.307822343421
065.05306;LFB BIOMEDICAMENTS;91940;2120Z;Fabrication de préparations pharmaceutiques;583800.202;2407590.685;46.1565456583, -0.104528021789
065.06477;METAL COULEUR SYSTEMES;94380;2561Z;Traitement et revêtement des métaux;612205;2420125;46.5565882872, -0.370574777421
065.06542;Société Pétrolière du Val de Marne - SPVM;94290;5210B;Entreposage et stockage non frigorifique;606970.6348468;2415415.5578053;46.770537263, -0.649080303988
065.06757;SITA Ile de France - ISDND du Mont Saint Sébastien;77111;3811Z;Collecte des déchets non dangereux;626600;2406100;46.770537263, -0.649080303988
054.02203;CEA VALDUC;21120;2410Z;Sidérurgie;809000;2284063;46.840250131, -0.495951831017
101.00219;SAB MONTMERLE;1090;2562B;Mécanique industrielle;787218;2123026;46.770537263, -0.649080303988
065.13496;Station de compresssion Evry Grégy électro;77166;4950Z;Transports par conduites;623685.97;2404737.68;46.6929986887, -0.499172202457
066.00432;SANOFI CHIMIE;30390;2110Z;Fabrication de produits pharmaceutiques de base;790000;1880750;46.48355539, -0.59698845916
066.00569;PURFER;30210;3832Z;Récupération de déchets triés;776246.74127917;1879614.6219231;46.925800971, -0.753088327639
163.00241;AUBERT ET DUVAL - Décharge des Ancizes;63770;2410Z;Sidérurgie;635954.475;2101932.751;46.6319466834, -0.577235482324
1312009;PROVENT SDPR - Elevage des 3 Monts;1370;0146Z;Élevage de porcins;834664;2151411;46.0980700768, -0.0439629141593
3146008;GAEC DE ROOVER;3320;0146Z;Élevage de porcins;654745;2186650;46.2084312168, -0.0931463276191
051.00293;EVERBAL;2190;1712Z;Fabrication de papier et de carton;723526;2495300;46.8803311946, -0.0937621139693
051.01646;POCLAIN HYDRAULICS INDUSTRIES;60411;2812Z;Fabrication d'équipements hydrauliques et pneumatiques;628738;2479275;46.8366288511, -0.620625483609
051.01694;Verreries de la Somme;80100;2313Z;Fabrication de verre creux;566259;2568227;47.03346935, -0.50915807495
051.04391;REVIVAL;80100;3831Z;Démantèlement d'épaves;565871.71;2567726.27;46.9589629027, -0.436595953572
051.05644;VALOR'AISNE (unité de compostage de LAON);2000;3821Z;Traitement et élimination des déchets non dangereux;692197.06;2504558.42;46.471303414, -0.328197055802
051.07906;Auto Crash du Vexin;60240;4511Z;Commerce de voitures et de véhicules automobiles légers;573172;2472125;46.4594623163, -0.464252396754
052.01587;MAISADOUR - Haut Mauco;40000;1061B;Autres activités du travail des grains;368602.51;1874217.06;46.6329587068, -0.616982378537
052.09613;Déchetterie de Castets;40260;3811Z;Collecte des déchets non dangereux;322502.53915806;1881344.4885293;46.9362065845, -0.591571518221
053.00526;SOLICENDRE;14370;3822Z;Traitement et élimination des déchets dangereux;418094;2463095;46.2526108481, -0.537430570144
053.02429;AMCOR FLEXIBLES;61200;1721C;Fabrication d'emballages en papier;426898.618;2419428.391;47.0446116696, -0.355331971173
053.02589;SCA HYGIENE PRODUCTS SUPPLY - USINE DU THEIL SUR HUISNE;61260;1722Z;Fabrication d'articles en papier à usage sanitaire ou domestique;476401;2363222;46.840250131, -0.495951831017
47320030;EARL DOMÄINE DE TAUZIA;47160;0147Z;Élevage de volailles;429285;1925179;46.840250131, -0.495951831017
053.02854;SNN - ISDND de Colonard Corubert;61340;3821Z;Traitement et élimination des déchets non dangereux;472241;2381889;46.72061298, -0.554685078337
054.01115;SYNKEM;21301;2110Z;Fabrication de produits pharmaceutiques de base;801445.112;2257141.08;46.7249451231, -0.587502184659
054.01840;Lyreco France SAS;71160;4649Z;Commerce de gros (commerce interentreprises) d'autres biens domestiques;726426.47408272;2166127.5596232;46.7829689416, -0.677278441238
75560139;GAEC DE POINT DE VUE;56500;0147Z;Élevage de volailles;218100;2332399;50.1061691965, 2.33368165432
75600379;EARL TY GUEN;56400;0147Z;Élevage de volailles;206349;2317825;49.8097187328, 2.38193274214
051.00430;SENSIENT Natural Ingredients;2350;1039A;Autre transformation et conservation de légumes;708120;2509624;49.7305272489, 2.74670051554
051.02295;Aluminium France Extrusion;80400;2442Z;Métallurgie de l'aluminium;653079;2527981;49.6621920864, 2.6187298159
061.04364;OCV CHAMBERY (Usine C);73009;2314Z;Fabrication de fibres de verre;878381;2070684;50.0802835709, 2.71130943943
065.02368;Brie Champagne Ethanol;77160;2014Z;Fabrication d'autres produits chimiques organiques de base;670607;2396017;49.6855796928, 2.47057523756
Bordure de la Route Nationale 16;95200;ILE-DE-FRANCE;Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW;;Production et distribution de vapeur et d'air conditionné;1.(c);49.9650958283, 2.4074694609
051.04803;CLAL-FRANCE;60540;2444Z;Métallurgie du cuivre;590759;2466600;43.8481959133, 1.98085357468
057.01293;FONDERIE GHM;52130;2451Z;Fonderie de fonte;793587.24;2391565.71;43.90318368, 1.8967431827
057.01837;Pièces Auto 2001;51100;4520A;Entretien et réparation de véhicules automobiles légers;726351.75;2476362.85;43.5360460391, 2.10477974027
057.02199;S.H.M.V.D;52000;3821Z;Traitement et élimination des déchets non dangereux;808787;2349288;43.8507921139, 1.80101277203
058.04963;DE ALMEIDA METAUX;27160;3832Z;Récupération de déchets triés;490637;2422037;43.8028351441, 2.25961747669
070.00855;BCI- usine de Vaulx-Vraucourt;62159;0113Z;Culture de légumes -  de melons -  de racines et de tubercules;641259;2572574;43.4512793129, 2.06272679969
070.00870;NORD CHROME;59760;2561Z;Traitement et revêtement des métaux;597294.26617157;2666023.5337857;44.1005680078, 2.31248572703
070.02953;DRAKA COMTEQ France;62092;2731Z;Fabrication de câbles de fibres optiques;637726;2613941;46.7791611766, -1.06159249187
3025109;INTEROVO Avicole France;3340;0147Z;Élevage de volailles;678800;2160900;46.7975257829, -1.12869398785
070.04371;LE FLOHIC;59880;3831Z;Démantèlement d'épaves;689025.4;2597059.6;46.7975257829, -1.12869398785
072.01656;Papeterie Saint-Michel;16470;1712Z;Fabrication de papier et de carton;426102.3;2074617.8;46.8533642784, 0.542397146277
072.01670;AMCOR FLEXIBLES BARBEZIEUX;16300;1712Z;Fabrication de papier et de carton;405337;2055352;46.3603056318, 0.608602395192
072.01983;SNRI;16700;2814Z;Fabrication d'autres articles de robinetterie;434371;2116337;46.4418794069, 0.162827402136
067.00502;CICE - CIE INDUSTRIELLE DES CHAUFFE EAU;68300;2751Z;Fabrication d'appareils électroménagers;991884.023;2300079.521;46.1643366336, 0.180357209687
067.00652;TIMKEN EUROPE;68000;2815Z;Fabrication d'engrenages et d'organes mécaniques de transmission;974116;2356349;46.5768480691, 0.776836997061
067.00690;EURO T.F;68140;1330Z;Ennoblissement textile;958223;2348749;46.278084995, 0.527601693629
072.05801;UVE du PAYS ROCHEFORTAIS;17620;3821Z;Traitement et élimination des déchets non dangereux;494848.87509677;2101548.4972616;46.1063307292, 1.3662733992
072.07765;SCOTPA;16440;4211Z;Construction de routes et autoroutes;419063.66;2065461.81;45.8086122361, 1.25704044025
067.02749;Centre de Tri-Compostage;67750;3821Z;Traitement et élimination des déchets non dangereux;977686;2376478;45.8066826876, 1.28314359819
072.11839;PIGEON ENVIRONNEMENT;86530;4312A;Travaux de terrassement courants et travaux préparatoires;465737;2196766;45.6151469543, 1.21480268832
074.06008;Technicentre Atlantique;92320;4910Z;Transport ferroviaire interurbain de voyageurs;596600;2422300;45.8024670131, 0.936698838588
074.06275;PETIT FORESTIER LOCATION;93420;7712Z;Location et location-bail de camions;614638;2440665;45.4842350027, 1.19162369588
068.03147;CONSTELLATION UTILITES SERVICES;31700;3511Z;Production d'électricité;521217.62;1850455.56;48.2712491324, 7.0536886863
090.00079;Centre de ravitaillement des essences de Castelsarrasin;82100;8422Z;Défense;504236;1892543;48.2159496316, 5.92054358669
070.00646;Bonduelle Europe Long Life - Usine de Renescure;59173;1039A;Autre transformation et conservation de légumes;602360.12428756;2639381.0553362;48.0831927271, 3.70224829247
061.01405;SNC CARRIERE DE RIVOLET;69640;0812Z;Exploitation de gravières et sablières -  extraction d'argiles et de kaolin;775496;2114267;48.0913574986, 3.7687623021
061.02299;ATEMAX France;1440;3832Z;Récupération de déchets triés;821974;2143200;48.0337722576, 3.74556862219
061.03164;VALEO;38291;2931Z;Fabrication d'équipements électriques et électroniques automobiles;816334;2074100;48.1661657613, 3.5883483651
061.03167;SA LELY ENVIRONNEMENT;38210;3811Z;Collecte des déchets non dangereux;855334;2038146;47.6504942381, 3.98583767031
064.00455;Aptunion Industrie SAS;84405;1082Z;Fabrication de cacao -  chocolat et de produits de confiserie;843025.15264982;1880606.9557658;48.1738779259, 3.03000432716
064.00598;SARL AUTO CASSE GIGNAC;13180;3822Z;Traitement et élimination des déchets dangereux;836615;1826035;47.8495784081, 3.2676003439
064.00622;SRI - Ste RECUPERATION INDUSTRIELLE;13700;3832Z;Récupération de déchets triés;832497.71411661;1828408.3219766;47.756217154, 4.10652208462
064.00678;PROFER marseille;13014;2410Z;Sidérurgie;846405.87;1818883.01;48.0333018895, 3.56667000447
064.00774;PROFERMET;13010;3832Z;Récupération de déchets triés;846880;1815839;47.7295870614, 3.95828332674
064.00839;SANOFI CHIMIE;4200;2014Z;Fabrication d'autres produits chimiques organiques de base;890676.016;1910266.521;47.7352059143, 3.29775237735
064.01007;UCB - USINE CHIMIQUE DE BERRE;13130;2014Z;Fabrication d'autres produits chimiques organiques de base;830667;1833575;47.9064043679, 3.78245310807
064.01989;CARRIERES DE LA PEJADE;83440;0811Z;Extraction de pierres ornementales et de construction -  de calcaire industriel -  de gypse -  de craie et d'ardoise;950983.48;1859923.06;48.0358064979, 3.70673377863
066.01399;BANYOLS RENE CASS'AUTO 66 SARL;66200;4532Z;Commerce de détail d'équipements automobiles;649967.67;1732393.18;48.3512340713, 3.4050388966
066.01713;ASKLE SANTE;30034;3250A;Fabrication de matériel médico-chirurgical et dentaire;767881;1872903;48.6276975901, 2.09700720441
066.03588;ISDND Castries;34160;3821Z;Traitement et élimination des déchets non dangereux;729559.6;1858340.63;48.9827592458, 2.55544857004
75664006;BOYRIVENT EMMANUEL / SCEA DE LANGLE;64420;0146Z;Élevage de porcins;397089;1812517;49.1262942675, 1.89016276606
067.00794;WIENERBERGER;67470;2332Z;Fabrication de briques -  tuiles et produits de construction -  en terre cuite;1023022;2448514;27.5276670002, -1.77253568374
067.02052;LABORATOIRES ALCON SAS;68240;2120Z;Fabrication de préparations pharmaceutiques;966182.49;2360809.84;27.5850971756, -1.77098235451
067.02151;SOJINAL S.A.S.;68500;1089Z;Fabrication d'autres produits alimentaires n.c.a.;967853;2334025;27.6213275338, -1.91429877552
068.02197;LES DELICES D'AUZAN;32440;1012Z;Transformation et conservation de la viande de volaille;423199;1882271;27.6661651128, -2.02754701634
068.02361;C2M AUROCHS Industrie;31140;2014Z;Fabrication d'autres produits chimiques organiques de base;525545;1852866;27.6661651128, -2.02754701634
068.02491;Abattoir Communautaire de la Haute-Bigorre;65200;8411Z;Administration publique générale;421908.91232034;1788228.4227194;27.45580378, -1.8538232171
068.02688;bercolor;81210;1330Z;Ennoblissement textile;596487;1851782;27.6143337776, -2.09962215498
068.06388;Syndicat mixte departemental pour la valorisation des dechets menagers TRIFYL;81300;3821Z;Traitement et élimination des déchets non dangereux;573300;1866626;50.9764821618, 2.49285678508
065.03073;CLAMENS;77270;4941B;Transports routiers de fret de proximité;619598;2437887;49.4638918697, 3.44656565305
068.08370;COMMUNAUTE D AGGOLOMERATION DU MURETAIN;31600;8411Z;Administration publique générale;506847.14;1836486.75;49.6536273698, 3.33424934942
070.00620;INEOS ChlorVinyls France;62670;2016Z;Fabrication de matières plastiques de base;626852;2608600;49.3715334761, 3.35034095574
070.00661;Mccain ALIMENTAIRE BETHUNE;62403;1031Z;Transformation et conservation de pommes de terre;626874;2615035;50.0126759065, 3.69939200981
47320012;EARL du domaine de TAUZIA - site SAUPIQUET;47160;0147Z;Élevage de volailles;429285;1925179;50.033299995, 3.7166700065
053.02775;GILLOT SAS;61220;1051C;Fabrication de fromage;403784;2414719;49.4333000023, 3.36667000131
054.01157;SETFORGE LA CLAYETTE SOCIETE NOUVELLE;71800;2550A;Forge -  estampage -  matriçage  -   métallurgie des poudres;751315;2145490;49.0361577336, 3.39927304374
054.01201;COMMUNAUTE DE COMMUNES DU SENONAIS;89105;3821Z;Traitement et élimination des déchets non dangereux;671337;2355681;49.0444436532, 3.40230057789
62366001;BAYART Philippe (EARL du Gal);62150;0146Z;Élevage de porcins;617404;2602274;49.6050266438, 3.22240432559
054.01782;AIR LIQUIDE FRANCE INDUSTRIE;71130;2011Z;Fabrication de gaz industriels;732430.23090454;2180175.6656496;49.6135019682, 3.23425000471
055.00111;Armoricaine Laitière;22800;1051A;Fabrication de lait liquide et de produits frais;211086;2385699;49.610001968, 3.23000000471
75200214;EARL DE KERGAL;56500;0150Z;Culture et élevage associés;218100;2332399;49.6162021928, 3.21839569274
75400104;MEROT CHRISTOPHE;22320;0147Z;Élevage de volailles;199926;2382473;49.041452971, 3.42009208056
75600442;LE RAY;56250;0147Z;Élevage de volailles;233900;2310299;49.4000000004, 3.96667001005
