Identifiant;Nom Etablissement;CodePostal;Code APE;Libelle APE;coordonnees_x;coordonnees_y;COORDONNEE
49002391;AMELYS (EARL LES);49120;012G;Elevage de volailles;369912;2242457;48.5660143935, -3.33872329624
055.00736;PAULET PAUL;29177;1020Z;Transformation et conservation de poisson -  de crustacés et de mollusques;748729.64485955;2344264.9634208;48.1760258754, -2.75400390991
052.02680;SANOFI CHIMIE;64150;2110Z;Fabrication de produits pharmaceutiques de base;361339;1824536;48.1760258754, -2.75400390991
055.14430;SARL De la Ferme de Kervenach;22540;4633Z;Commerce de gros (commerce interentreprises) de produits laitiers -  œufs -  huiles et matières grasses comestibles;181342;2411448;48.1760258754, -2.75400390991
052.05695;BERNIER FRERES SARL;24160;3299Z;Autres activités manufacturières n.c.a.;492600;2041100;48.2837394188, -3.42394729115
065.02172;GENERIS;77330;3821Z;Traitement et élimination des déchets non dangereux;627296.04351998;2417511.5939113;48.47092316, -2.51100575975
065.06239;PARIS EXPO;75738;8110Z;Activités combinées de soutien lié aux bâtiments;600832;2428896;48.47092316, -2.51100575975
051.00672;SODEXAS;2100;151E;Préparation industrielle de produits à base de viandes;667957;2539585;
051.00808;fonderies de Wassigny Joassart;2630;275G;Fonderie d'autres métaux non ferreux;690463;2558230;48.2772548438, -2.90032753958
057.01476;EHPF établissement SOREMAM;51058;297A;Fabrication d'appareils électroménagers;723707;2474468;48.7749654844, -3.22866305247
061.03385;ANDRE VERNAY TEINTURE;42311;;non renseigné;734200;2116500;48.2356243296, -3.4442996916
061.03634;AIR LIQUIDE;69540;241A;Fabrication de gaz industriels;793600;2077700;48.3723460044, -2.49674345779
061.04435;CENTRE DE TRI DE PETIT-C_UR;73260;900B;Enlèvement et traitement des ordures ménagères;925700;2064373;48.3723460044, -2.49674345779
054.01114;Etablissement de Maintenance du Matériel de DIJON;21000;601Z;Transports ferroviaires;804200;2261700;48.3723460044, -2.49674345779
3800001;bioMerieux Grenoble;38000;7211Z;Recherche-développement en biotechnologie;864459.72;2028356.7;48.8139300014, -3.29493964486
063.01250;CHIMIDEROUIL;44310;285A;Traitement et revêtement des métaux;297726;2233985;48.2904391392, -3.23101851434
054.02281;Etablissement Français du Sang Bourgogne Franche Comté;21078;851L;Centres de collecte et banques d'organes;804200;2261700;48.4481372691, -2.38816509907
061.03255;ARKEMA (Usine de BRIGNOUD);38190;241L;Fabrication de matières plastiques de base;878370;2032259;48.6340807659, -2.94032885811
064.00580;ATE;13724;285A;Traitement et revêtement des métaux;833750;1827514;48.4340364504, -2.21842314703
064.00905;SILIM Incinérateur d'Arles;13200;900B;Enlèvement et traitement des ordures ménagères;784709;1854999;48.5566205814, -2.94589131853
061.03785;TEINTURERIES DE LA TURDINE (USINE ROUTE DE PARIS);69170;173Z;Ennoblissement textile;762592;2101659;48.5566205814, -2.94589131853
064.01987;RICARD;13014;159B;Fabrication de spiritueux;846880;1815839;48.5566205814, -2.94589131853
062.01546;Syndicat Interhospitalier de Blanchisserie de Metz;57070;751G;Activités de soutien aux administrations;879979;2464744;48.1773554945, -2.59372843675
056.00163;LABORATOIRES LYOCENTRE;15130;244C;Fabrication de médicaments;612163;1995903;48.4481620909, -3.12033666786
051.00467;ROQUETTE Frères;2290;1062Z;Fabrication de produits amylacés;655289;2486367;48.4481620909, -3.12033666786
063.01883;TERMINAL FRUITIER DE L'ATLANTIQUE;44600;;non renseigné;255960;2262718;48.4481620909, -3.12033666786
100.00315;PERFECT CIRCLE EUROPE;28100;343Z;Fabrication d'équipements automobiles;528697;2416954;48.2763042283, -2.62049048797
75100376;Les ELEVEURS DE LA CHEVILLOTTE;25800;;non renseigné;903900;2246400;48.4242086782, -2.44910193708
75200021;SARL LERAY;44500;;non renseigné;243400;2264899;48.4242086782, -2.44910193708
75200082;FERMES DE ST GEORGES I et 2;49170;;non renseigné;366312;2272237;48.4898028963, -2.31826083193
75200165;LE BIGOT Camille;56500;;non renseigné;214450;2344825;48.7147597178, -3.20586910305
064.00996;UNIVAR;13340;515L;Commerce de gros de produits chimiques;834699;1836000;48.6122392923, -3.47356122615
