VILLE;Code_postal;SUPERFICIE;POPULATION
CRUAS;51260;1008.0;626
CRUAS;10380;1134.0;119
CRUAS;10700;2104.0;307
CRUAS;2160;899.0;116
CRUAS;2160;239.0;66
CRUAS;2810;362.0;84
CRUAS;2400;222.0;1134
CRUAS;2330;481.0;75
CRUAS;2160;859.0;491
CRUAS;2160;859.0;491
CRUAS;75008;386.0;38749
CRUAS;75003;117.0;35991
CRUAS;93430;233.0;12502
CRUAS;75006;215.0;43224
CRUAS;93160;1305.0;62592
CRUAS;93250;404.0;28664
CRUAS;94170;396.0;33248
CRUAS;94490;345.0;9945
CRUAS;95270;1417.0;2544
CRUAS;60160;1061.0;12626
CRUAS;77183;1079.0;2005
CRUAS;77183;1079.0;2005
CRUAS;77450;284.0;3398
CRUAS;77410;336.0;893
CRUAS;60620;748.0;225
CRUAS;60330;1151.0;1182
CRUAS;60620;720.0;148
CRUAS;60130;645.0;332
CRUAS;60840;1259.0;1002
CRUAS;2220;255.0;14
CRUAS;;376.0;80
CRUAS;2160;329.0;129
CRUAS;2220;1163.0;2231
CRUAS;2220;1377.0;338
CRUAS;51270;704.0;174
CRUAS;51130;670.0;125
CRUAS;51190;763.0;1791
CRUAS;51150;2162.0;989
CRUAS;51170;348.0;288
CRUAS;2160;248.0;64
CRUAS;62390;348.0;48
CRUAS;41140;1839.0;348
CRUAS;62500;724.0;1109
CRUAS;32240;848.0;105
CRUAS;41250;2838.0;3220
CRUAS;2500;1215.0;448
CRUAS;21700;287.0;121
CRUAS;66200;537.0;2176
CRUAS;42114;1070.0;377
CRUAS;20244;827.0;24
CRUAS;12220;1432.0;516
CRUAS;40090;3995.0;407
CRUAS;80540;1462.0;547
CRUAS;42470;1259.0;630
CRUAS;29350;4741.0;7002
CRUAS;;501.0;556
CRUAS;44980;1141.0;13452
CRUAS;70280;656.0;335
CHARLEVILLE-MEZIERES;63220;1438.0;143
CHOOZ;50440;1657.0;373
CHOOZ;18600;1586.0;287
CHOOZ;74270;942.0;414
CHOOZ;39700;588.0;126
CHOOZ;4230;1975.0;115
CHOOZ;14700;496.0;294
CHOOZ;39570;710.0;483
CHOOZ;14410;3096.0;1825
CHOOZ;14410;3096.0;1825
CHOOZ;30760;1108.0;232
CHOOZ;46600;1901.0;279
