NOM POLLUANT;QUANTITE;COORDONNEE;IDENTIFIANT;COORDONNEE;Nom Etablissement
Ammoniac (NH3);98700;48.4481620909, -3.12033666786;22189181;48.4481620909, -3.12033666786;TERMINAL FRUITIER DE L'ATLANTIQUE
Ammoniac (NH3);77300;48.2763042283, -2.62049048797;22191356;48.2763042283, -2.62049048797;PERFECT CIRCLE EUROPE
Ammoniac (NH3);11700;48.4242086782, -2.44910193708;22193002;48.4242086782, -2.44910193708;Les ELEVEURS DE LA CHEVILLOTTE
Ammoniac (NH3);14600;48.4242086782, -2.44910193708;22193262;48.4242086782, -2.44910193708;SARL LERAY
Ammoniac (NH3);43100;48.4898028963, -2.31826083193;22200057;48.4898028963, -2.31826083193;FERMES DE ST GEORGES I et 2
Ammoniac (NH3);27100;48.7147597178, -3.20586910305;22204201;48.7147597178, -3.20586910305;LE BIGOT Camille
Ammoniac (NH3);113400;48.6122392923, -3.47356122615;22207265;48.6122392923, -3.47356122615;UNIVAR
Ammoniac (NH3);145600;48.2998850155, -2.00650010829;22208266;48.2998850155, -2.00650010829;USINE DE LAVANNES
Ammoniac (NH3);39000;48.2998850155, -2.00650010829;22208268;48.2998850155, -2.00650010829;LETICO
Ammoniac (NH3);129100;48.7483713375, -2.98583039067;22214001;48.7483713375, -2.98583039067;ETG
Ammoniac (NH3);70300;48.2797569645, -2.70182975957;22219233;48.2797569645, -2.70182975957;SARL DE ROSSIVIN
Ammoniac (NH3);69200;48.2797569645, -2.70182975957;22219269;48.2797569645, -2.70182975957;PFIZER PGM
Ammoniac (NH3);34200;48.2395122426, -3.25224543283;22220233;48.2395122426, -3.25224543283;C.P.V.B.
Ammoniac (NH3);154600;48.6754466841, -2.93171483451;22222218;48.6754466841, -2.93171483451;IMPACT ENVIRONNEMENT SERVICES
Ammoniac (NH3);96600;48.5460713557, -3.13226126149;22225263;48.5460713557, -3.13226126149;PPG AC FRANCE
Ammoniac (NH3);88900;48.5664921482, -3.54213754895;22227151;48.5664921482, -3.54213754895;VALEO MATERIAUX DE FRICTION
Ammoniac (NH3);71900;48.5579837164, -3.44932522093;22228394;48.5579837164, -3.44932522093;SOCCOIM
Ammoniac (NH3);54900;48.2904391392, -3.23101851434;22229308;48.2904391392, -3.23101851434;GSM
Ammoniac (NH3);70100;48.745465834, -3.07002034802;22233134;48.745465834, -3.07002034802;SOCIETE GARDANNAISE DE COGENERATION
Ammoniac (NH3);175200;48.5310037021, -2.26790811415;22237125;48.5310037021, -2.26790811415;GAEC GOURAUD
Ammoniac (NH3);97800;48.5310037021, -2.26790811415;22237130;48.5310037021, -2.26790811415;Entrep̫t P̩trolier de Puget sur Argens
Ammoniac (NH3);415800;48.1014674191, -2.58214542828;22241024;48.1014674191, -2.58214542828;Communaut̩ d'Aglglom̩ Ouest Etang berre
Ammoniac (NH3);170900;48.1014674191, -2.58214542828;22241159;48.1014674191, -2.58214542828;COUET Viviane
Ammoniac (NH3);195400;48.1014674191, -2.58214542828;22241232;48.1014674191, -2.58214542828;Chaufferie de ST AUGUSTIN
Ammoniac (NH3);134600;48.3853504987, -3.48622708061;22243164;48.3853504987, -3.48622708061;GAEC LA POUPLIERE
Ammoniac (NH3);143400;48.6200854235, -3.0914272918;22248003;48.6200854235, -3.0914272918;SICAREV
Ammoniac (NH3);168200;48.6200854235, -3.0914272918;22248220;48.6200854235, -3.0914272918;EAUX DE CHORGES STE
Ammoniac (NH3);162100;48.6775056976, -3.29800553168;22254144;48.6775056976, -3.29800553168;Centre de Valorisation Energ̩tique d'Argenteuil
Ammoniac (NH3);50100;48.4202509181, -2.65749434582;22258294;48.4202509181, -2.65749434582;RTI Industries S.A.S.
Ammoniac (NH3);53800;48.2409964586, -2.8848741842;22260100;48.2409964586, -2.8848741842;GENERIS
Ammoniac (NH3);90500;48.2409964586, -2.8848741842;22260103;48.2409964586, -2.8848741842;SIETOM Tournan en brie
Ammoniac (NH3);85200;48.2409964586, -2.8848741842;22260105;48.2409964586, -2.8848741842;SOURCE CHANTEREINE
Ammoniac (NH3);136700;48.7278448653, -3.38570591792;22265105;48.7278448653, -3.38570591792;MAJ ELIS PROVENCE
Ammoniac (NH3);23200;48.2354085885, -3.31707557726;22266173;48.2354085885, -3.31707557726;Iveco Magirus Fire Fighting Camiva
Ammoniac (NH3);79600;48.5586915892, -3.10541824081;22272094;48.5586915892, -3.10541824081;SICA SARL LA POMAREDE
Ammoniac (NH3);95600;48.1347609078, -2.70552956314;22275122;48.1347609078, -2.70552956314;MEGISSERIE COLOMBIER
Ammoniac (NH3);13000;48.1898544615, -2.8473194698;22279023;48.1898544615, -2.8473194698;EARL LONCLE et ROBERT
Ammoniac (NH3);17300;48.3981399812, -2.73249381793;22281023;48.3981399812, -2.73249381793;OLIVIER Benǫt
