NOM_DU_SITE;GROUPE_DE_DECHETS;CATEGORIE;FAMILLE IN;VEC;ACTIVITE ( Bq);COORDONNEE
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-01;0,27599;1040000;
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;5,21235;4140000;48.5606651502, -2.37515540403
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;0,28944;864000000;48.5410370343, -2.43365235653
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-7-01;0;181500000;48.4087636342, -2.32222953134
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;FMA-VC;F3-2-05;0,70682;5,18E+14;48.3092689122, -3.31829786109
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;0;0;48.3092689122, -3.31829786109
EDF - BUGEY - CNPE;Déchets de Moyenne, Faible ou Très Faible Activité à Vie Courte;TFA;TFA;5,2195;73000000;48.3092689122, -3.31829786109
EDF - BUGEY - BUTTE;Résines issues des purges du circuit secondaire au niveau des générateurs de vapeur mélangées à des remblais naturels (terre), des gravats et des déchets conventionnels;AUTRES;DSH;-;6000000000;48.47092316, -2.51100575975
COMPTOIR DES MINERAUX ET MATIERES PREMIERES - SAINT QUENTIN;Déchets solides;AUTRES;ISD;-;12000000;48.47092316, -2.51100575975
CENTRE D'EXPLORATIONS ISOTOPIQUES SAINT-CLAUDE - MEDECINE NUCLEAIRE;;VTC;DGD;0,1;-;48.4296552417, -2.5406338422
CENTRE DE MÉDECINE NUCLÉAIRE DE SOISSONS - SCINTIGRAPHIE;;VTC;DGD;20;-;48.4296552417, -2.5406338422
ORANGE - BELLERIVE;;AUTRES;S04;-;;48.7499322232, -3.28184685611
CENTRE HOSPITALIER DE MONTLUÇON - MEDECINE NUCLEAIRE;;VTC;DGD;2,49;-;48.1602182027, -3.2445572377
ORANGE - MONTLUCON;;AUTRES;S04;-;;48.658917149, -3.01188077715
